"","Species/Category Name","Species/Category Code Code","Qualifier","Transect","Sample","Class End-Point"
"60","Eragrostis lehmanniana","ERLE",NA,1,60,50
"61","Eragrostis lehmanniana","ERLE",NA,1,61,70
"62","Eragrostis lehmanniana","ERLE",NA,1,62,90
"63","Eragrostis lehmanniana","ERLE",NA,1,63,50
"64","Eragrostis lehmanniana","ERLE",NA,1,64,70
"65","Eragrostis lehmanniana","ERLE",NA,1,65,90
"66","Bothriochloa barbinodis","BOBA3",NA,1,66,0
"67","Aristida","ARIST",NA,1,67,0
"68","Eragrostis lehmanniana","ERLE",NA,1,68,0
"69","Eragrostis lehmanniana","ERLE",NA,1,69,70
"70","Eragrostis lehmanniana","ERLE",NA,1,70,70
"71","Eragrostis lehmanniana","ERLE",NA,1,71,50
"72","Bothriochloa barbinodis","BOBA3",NA,1,72,70
"73","Bothriochloa barbinodis","BOBA3",NA,1,73,10
"74","Bothriochloa barbinodis","BOBA3",NA,1,74,50
"75","Eragrostis lehmanniana","ERLE",NA,1,75,70
"76","Eragrostis lehmanniana","ERLE",NA,1,76,50
"77","Eragrostis lehmanniana","ERLE",NA,1,77,70
"78","Eragrostis lehmanniana","ERLE",NA,1,78,50
"79","Eragrostis lehmanniana","ERLE",NA,1,79,50
"80","Eragrostis lehmanniana","ERLE",NA,1,80,30
"81","Eragrostis lehmanniana","ERLE",NA,1,81,10
"82","Eragrostis lehmanniana","ERLE",NA,1,82,30
"83","Eragrostis lehmanniana","ERLE",NA,1,83,70
"84","Eragrostis lehmanniana","ERLE",NA,1,84,70
"85","Eragrostis lehmanniana","ERLE",NA,1,85,50
"86","Eragrostis lehmanniana","ERLE",NA,1,86,50
"87","Eragrostis lehmanniana","ERLE",NA,1,87,70
"88","Eragrostis lehmanniana","ERLE",NA,1,88,30
"89","Eragrostis lehmanniana","ERLE",NA,1,89,30
"90","Eragrostis lehmanniana","ERLE",NA,1,90,50
"91","Eragrostis lehmanniana","ERLE",NA,1,91,50
"92","Eragrostis lehmanniana","ERLE",NA,1,92,10
"93","Eragrostis lehmanniana","ERLE",NA,1,93,50
"94","Eragrostis lehmanniana","ERLE",NA,1,94,30
"95","Eragrostis lehmanniana","ERLE",NA,1,95,70
"96","Eragrostis lehmanniana","ERLE",NA,1,96,70
"97","Eragrostis lehmanniana","ERLE",NA,1,97,70
"98","Eragrostis lehmanniana","ERLE",NA,1,98,70
"99","Eragrostis lehmanniana","ERLE",NA,1,99,70
"100","Eragrostis lehmanniana","ERLE",NA,1,100,30
